ATP8A1
AVEN
BMPER
FGF14
IFNG
IL26
KLHL33
LIN7A
LOC115910675
LOC115914354
MYF5
MYO6
NDUFA11
NUDT4
PDZRN4
PPP1R17
RANBP3
RELCH
RYR3
SLC12A7
SOX6
STK3
SUSD4
TAF1A
TRHDE
