ADCY2
ARFGEF1
B4GALT5
BMPER
CAMK2G
CELSR3
CUL3
DLG2
GORASP2
GPC6
GRIP1
LOC115912143
MED23
RAB18
RIMS1
SLC9A8
TLK1
TMPRSS11E
TP53I11
TRNAN-GUU-2
YTHDC1
