BBS9
BMPER
CSMD1
EYS
HSD17B12
LDLRAD3
LNX2
LOC115902202
MFSD14A
RGS6
SASS6
STARD13
TENM3
TMEM117
UXS1
ADCY2
ARFGEF1
B4GALT5
CAMK2G
CELSR3
CUL3
DLG2
GORASP2
GPC6
GRIP1
LOC115912143
MED23
RAB18
RIMS1
SLC9A8
TLK1
TMPRSS11E
TP53I11
TRNAN-GUU-2
YTHDC1
ATP8A1
AVEN
FGF14
IFNG
IL26
KLHL33
LIN7A
LOC115910675
LOC115914354
MYF5
MYO6
NDUFA11
NUDT4
PDZRN4
PPP1R17
RANBP3
RELCH
RYR3
SLC12A7
SOX6
STK3
SUSD4
TAF1A
TRHDE
