ABCC8
ABHD11
ABI3BP
ABRAXAS1
ACTR1A
ADCY2
ADGRL3
ADK
ADPRHL1
AFF1
AGTR1
ALKAL1
AMMECR1
ANAPC10
ANGPT1
ANGPTL4
ANKH
ANKRD22
ANKRD44
ANO10
ANXA13
AP5S1
APELA
APPL1
ARAP1
ARHGAP18
ARHGAP27
ARHGAP5
ARMC1
ARMC9
ASAP2
ASB14
ASCC3
ATAD2
ATG16L1
ATP11A
AUTS2
B4GALT5
BAALC
BARX1
BBS9
BCL7B
BCR
BIVM
BMPER
BORCS6
BRMS1L
C2H8orf88
C9H2orf72
CAB39L
CACNB2
CAMK2G
CAPZA2
CBLB
CCDC85A
CDADC1
CDH23
CDK14
CEP57L1
CFAP206
CFAP300
CFAP54
CGA
CHCHD1
CINP
CKMT1A
CLDN1
CLDN16
CLIC5
CLPB
CLVS2
CMAS
CNOT6L
COL24A1
COPS7B
COQ2
CPB1
CPSF3
CSGALNACT1
CSMD1
CSMD3
CSRP3
CTHRC1
CUL3
CYYR1
DBT
DCTN6
DCUN1D2
DEAF1
DENND3
DENND6B
DERL1
DGKD
DISC1
DISP1
DLG2
DNAH12
DNAH5
DNAH8
DNAJC19
DOCK3
DOCK4
DPY19L1
DPY30
DRD4
DSCC1
DTNA
DUSP10
DYNC1I2
E2F5
E2F8
ECRG4
EFHC1
EHBP1
EIF4A2
EML4
EMSY
ENPP3
EPHA4
EPS8L2
EPSTI1
ERCC4
ERCC5
ERGIC2
EXOC2
EYS
FAM120A
FAM124B
FAM149A
FAM171A2
FAM83A
FBXO32
FGD3
FHOD3
FKBP4
FNDC3A
FNIP1
FRAS1
FRMD1
FRYL
FSIP1
FUT11
FUT8
FXR1
FZD6
FZR1
GABRB3
GALNT3
GC
GIGYF2
GIPC3
GJB7
GNAZ
GORASP2
GPATCH8
GPC1
GPC6
GRN
GSTZ1
GTF2E2
HAT1
HELQ
HHIP
HMG20B
HPSE
HRAS
HS3ST5
HSD17B12
HTR2B
ICA1
INPP4A
INPP5D
IQCG
ISX
ITFG1
ITFG2
ITGA2B
ITGA9
ITGB1BP1
ITIH4
IWS1
KAT6B
KAZALD1
KCNH7
KCNJ13
KCNK1
KHDRBS3
KIAA1211L
KIF3A
KIF6
KLHL38
LAMA2
LAMB4
LBH
LCA5
LDLRAD3
LITAF
LOC115901006
LOC115901322
LOC115901416
LOC115901773
LOC115901797
LOC115901899
LOC115901989
LOC115902121
LOC115902128
LOC115902421
LOC115902628
LOC115902841
LOC115902986
LOC115903034
LOC115903172
LOC115903234
LOC115903249
LOC115903359
LOC115903409
LOC115903505
LOC115903593
LOC115903625
LOC115903626
