THAP12
HELQ
CFAP20
CFAP206
OTULIN
FXR1
MEMO1
YTHDC1
DPY30
RNF121
UXS1
FAM98B
FAM120A
HAT1
HESX1
URI1
CCNE1
DNAH5
IQCG
RAB18
GJB7
C11H19orf12
SLC35A1
RAD54L2
TCFL5
NUMA1
IL17RD
SELENOT
PDE6D
OTULINL
PTPDC1
YAP1
APPL1
SEC24C
ABRAXAS1
TMPRSS11E
LAMTOR1
STEAP1
LRCH3
ZNF292
SP4
MFN1
RALGAPA1
ZNF639
SH2D4A
CPB1
BARX1
CAMK2G
STAG2
EIF4G1
MAP4K3
RFC4
BAALC
PAQR8
SF3B3
ITGA2B
SAG
PSMD2
CNOT6
CNOT6L
U2SURP
GRN
EFCAB14
BCL6
ADGRG7
NAPRT
PCCB
DCUN1D2
FYTTD1
CPNE2
AMFR
CNNM1
AGA
SYNGR3
FPGT
DNAH12
EIF4A2
AP1S3
MTHFSD
BLOC1S5
GORASP2
TP53I11
KCNJ13
LRRC56
MLC1
MAP3K7
MAP3K7CL
