AMPH
AQP9
BDH2
BMPER
C3H6orf120
CENPE
CISD2
CNTNAP2
DBX2
DCAF4
DISC1
DLG2
EEA1
EIF4E
FBXL7
HCFC2
IFNG
IL1R2
KATNBL1
KLHL32
LAMA2
LOC115902732
LOC115908725
LOC115908813
LOC115910551
LOC115910675
LOC115914148
LOC115914158
LOC115914220
MAPK11
MAPK12
MARCHF8
MMP17
NFYB
NUDT4
OPLAH
PACRG
PCDH9
PCGF6
PHF10
PPP1R17
PTPRQ
RBM25
RBMS3
RELCH
RIMS1
RYR3
SERPINB1
SFSWAP
SLC12A7
SLC35F3
SLC9B2
STRN
SUSD4
TBC1D30
TENM3
TENM4
TRHDE
TXNRD1
VIT
VPS41
WRNIP1
ZFAND4
ZFYVE1
ZNF318
