ABCC9
ADH5
ANXA2
ARHGEF5
ARMC1
ASXL1
ATAD2
ATG9A
BAZ1B
BDH2
BPIFC
BTRC
C2H8orf76
CAPZA2
CCT8
CDAN1
CDK13
CISD2
CMAS
CPEB1
CRISPLD1
DBT
DYNLT1
ESCO1
FAM177A1
FAM219B
FAM83A
FSIP1
GABARAPL1
GMEB2
GPAT4
GPD1L
HCFC2
HDC
IL1R2
ITGA2B
KCTD16
KHDRBS3
LETM2
LHX9
LOC115904066
LOC115904337
LOC115907598
LOC115907786
LOC115909770
LOC115911763
LOC115912143
LOC115912498
LOC115912661
LRRC39
LRRC57
LSM1
LSM14A
LTV1
MAPK11
METAP1
MTFR1
MTMR4
NDUFA12
NECAB1
NFYB
NOBOX
OTULIN
PALM
PALMD
PDYN
POU6F2
PPP2R3C
PPP4R3A
PRORP
RAB3GAP2
RALA
RBM27
RTCB
SFSWAP
SGO1
SLC12A1
SLC12A5
SLC9A8
SLC9B2
SNAP23
SRP54
STYK1
SYTL3
TACC1
TBC1D31
TCAIM
TCFL5
TMEM181
TRMT13
TTBK2
VPS41
YBX3
ZHX1
ZNF335
ZZZ3
