Ne	Gen_time	decline	f0	sel_s	n_out_composite	n_out_fst	n_out_taj	n_sel_out_composite	n_sel_out_fst	n_sel_out_taj	power_composite	power_fst	power_taj
10000	15	1	0	0.1	103	103	103	3	4	3	0.02912621359223301	0.038834951456310676	0.02912621359223301
10000	15	1	0	0.2	103	103	103	10	6	6	0.0970873786407767	0.05825242718446602	0.05825242718446602
10000	15	1	0	0.3	103	103	103	15	8	7	0.14563106796116504	0.07766990291262135	0.06796116504854369
10000	15	1	0	0.4	103	103	104	15	15	5	0.14563106796116504	0.14563106796116504	0.04807692307692308
10000	15	1	0	0.5	104	103	104	21	16	5	0.20192307692307693	0.1553398058252427	0.04807692307692308
50000	5	0.8	0	0.01	103	103	103	1	2	0	0.009708737864077669	0.019417475728155338	0
50000	5	0.8	0	0.05	103	103	103	1	3	2	0.009708737864077669	0.02912621359223301	0.019417475728155338
50000	5	0.8	0	0.1	103	103	103	0	0	0	0	0	0
50000	5	0.8	0	0.2	103	103	103	1	0	1	0.009708737864077669	0	0.009708737864077669
50000	5	0.8	0	0.3	103	103	103	0	1	1	0	0.009708737864077669	0.009708737864077669
50000	5	0.8	0	0.4	103	103	103	1	1	1	0.009708737864077669	0.009708737864077669	0.009708737864077669
50000	5	0.8	0	0.5	103	103	103	0	2	0	0	0.019417475728155338	0
50000	5	1	0	0.01	103	103	103	1	0	1	0.009708737864077669	0	0.009708737864077669
50000	5	1	0	0.05	103	103	103	3	0	2	0.02912621359223301	0	0.019417475728155338
50000	5	1	0	0.1	103	103	103	0	0	1	0	0	0.009708737864077669
50000	5	1	0	0.2	103	103	103	0	1	0	0	0.009708737864077669	0
50000	5	1	0	0.3	103	103	103	2	3	0	0.019417475728155338	0.02912621359223301	0
50000	5	1	0	0.4	103	103	103	2	1	2	0.019417475728155338	0.009708737864077669	0.019417475728155338
50000	5	1	0	0.5	103	103	103	4	3	0	0.038834951456310676	0.02912621359223301	0
50000	15	0.8	0	0.01	103	103	103	2	1	1	0.019417475728155338	0.009708737864077669	0.009708737864077669
50000	15	0.8	0	0.05	103	103	103	1	0	1	0.009708737864077669	0	0.009708737864077669
50000	15	0.8	0	0.1	103	103	103	2	3	1	0.019417475728155338	0.02912621359223301	0.009708737864077669
50000	15	0.8	0	0.2	103	103	103	2	1	3	0.019417475728155338	0.009708737864077669	0.02912621359223301
50000	15	0.8	0	0.3	103	103	103	1	3	2	0.009708737864077669	0.02912621359223301	0.019417475728155338
50000	15	0.8	0	0.4	103	103	103	2	2	2	0.019417475728155338	0.019417475728155338	0.019417475728155338
50000	15	0.8	0	0.5	103	103	103	8	6	2	0.07766990291262135	0.05825242718446602	0.019417475728155338
50000	15	1	0	0.01	103	103	103	2	0	3	0.019417475728155338	0	0.02912621359223301
50000	15	1	0	0.05	103	103	103	2	2	2	0.019417475728155338	0.019417475728155338	0.019417475728155338
